G/L Account,Profit Center,Segment,Customer,Customer Name,Special G/L ind.,Document Number,Document Date,,Debtor Category,WBS Element,Sales Document,Project,Product,Invoice reference,Reference,Document Date,Purchase Order Number,Assignment,Text,Due date,Ageing,Ageing in Days,Ageing in Days,To 0 Days,1 -  30 Days,31 -  60 Days,61 -  90 Days,91 - 120 Days,> 120 Days,Total (LC),Status,Not Due,Over Due, R Note , Bill Submission (Y/N) , Warranty , Warranty Difference of TDS , PVC , Lower Rate , GST Difference , GST TDS  , LD , EMD , Others/Not identified , Income Tax @0.1% , Retention , Reconciliation with Customer , RS CR , Payment received , Differences ,Old Legacy
24110300,P62303002,LM,40069178,South Eastern Railway,Z,1400927754,06-03-2025,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007730613,06-03-2025,,1.40E+13,TDS-9072408186,06-03-2025,86, 60-90 Days ,61-90 Days,0,0,0,"12,388.00",0,0,"12,388.00",Over Due,0,"12,388.00", -   , -   , -   ,0,0,0,0, -   ,0,0,0,12388,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174955678,21-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007425124,21-08-2024,,1400878060,TDS-9072401366,21-08-2024,283, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174955679,21-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007425123,21-08-2024,,1400878061,TDS-9072401367,21-08-2024,283, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983443,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396068,01-08-2024,,1400874486,TDS-9072401368,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983445,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396066,01-08-2024,,1400874488,,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983447,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396073,01-08-2024,,1400874491,TDS-9072401371,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983448,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396072,01-08-2024,,1400874492,TDS-9072401373,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983450,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396071,01-08-2024,,1400874502,TDS-9072401375,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983452,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396070,01-08-2024,,1400874505,TDS-9072401376,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983454,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396067,01-08-2024,,1400874507,TDS-9072401377,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983456,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396065,01-08-2024,,1400874521,TDS-9072401378,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983458,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396069,01-08-2024,,1400874523,TDS-9072401380,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
24110300,P62303002,LM,40072308,FA&CAO/CLW/Chittaranjan,Z,174983460,01-08-2024,,Overdue,IT TDS,IT TDS,IT TDS,IT TDS,,2007396074,01-08-2024,,1400874524,TDS-9072401381,01-08-2024,303, More than 120 Days ,181-360 Days,0,0,0,0,0,681.12,681.12,Over Due,0,681.12, -   , -   , -   ,0,0,0,0, -   ,0,0,0,681.12,,0,0,, -   ,No
